,track_name,_description
0,4AYtqFyFbX0Xkc2wtcygTr,soon you’ll get better feat the chicks taylor swift soon you’ll get better (feat. the chicks) midpopularity highacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime pop key0 
1,1JcIXOir94YUYBt2cXTzn2,growing sideways noah kahan growing sideways highpopularity highacousticness highdanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime pop key7 
3,3FFpGDzfkwJGjfIqM6BNMC,love  war in your twenties jordy searcy love & war in your twenties midpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity midartist_popularity presenttime stomp and holler indiecoustica key2 
4,7rC3P7tpWriaC4hYWKwGQd,hey lover wabie hey lover! highpopularity lowacousticness middanceability highenergy lowinstrumentalness midliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity midartist_popularity presenttime bedroom pop key4 
5,6vFsBXYczYsP0H3lgunZOm,cloud 9 beach bunny cloud 9 highpopularity lowacousticness middanceability highenergy lowinstrumentalness midliveness highloudness majormode lowspeechiness midtempo highvalence highalbum_popularity highartist_popularity presenttime indie pop indie rock key4 
6,5hAFKx1IMhvx73JA6MSkIP,northern attitude noah kahan northern attitude midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity presenttime pop key3 
7,3zwMVvkBe2qIKDObWgXw4N,right where you left me  bonus track taylor swift right where you left me - bonus track highpopularity highacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime pop key10 
9,3Cozx0ZC9RjHOPhW8VOdXC,you against yourself ruel you against yourself midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key6 
11,0GNVXNz7Jkicfk2mp5OyG5,stick season noah kahan stick season highpopularity highacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo highvalence highalbum_popularity highartist_popularity presenttime pop key9 
12,4aR9bPMAOFySBuQSbVWF3d,smile lily allen smile midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo highvalence midalbum_popularity highartist_popularity twothousands pop dance pop key5 
14,6qCp2Out7ymmGb4VqHLY7P,heart on fire scott thomas heart on fire midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence midalbum_popularity lowartist_popularity presenttime  key0 
15,1vNn7rVQT6UtEW1NGH53fT,all night longer sammy adams all night longer midpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity midartist_popularity twothousands pop rap indie pop rap key1 
16,1R0a2iXumgCiFb7HEZ7gUE,don’t blame me taylor swift don’t blame me highpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo lowvalence highalbum_popularity highartist_popularity presenttime pop key9 
17,1sx0XsWUusUoPstbvokZjP,aok tai verdes a-o-k highpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo highvalence highalbum_popularity highartist_popularity presenttime pop key11 
18,0jG5hLQSYrNnzApAjE0uIw,everything i know about love laufey everything i know about love lowpopularity midacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness slowtempo midvalence lowalbum_popularity highartist_popularity presenttime  key7 
19,5BCYtpbTyUQSMRwDVPb5wk,dover beach baby queen dover beach midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo highvalence midalbum_popularity midartist_popularity presenttime indie pop key6 
20,0g1q3xCsQ2KqjJQGONYGZ7,swimming pools francis on my mind swimming pools midpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo highvalence lowalbum_popularity midartist_popularity presenttime  key5 
21,64lsIF5pw0sJY0gV5kz0RN,can i call you tonight dayglow can i call you tonight? midpopularity lowacousticness middanceability highenergy highinstrumentalness midliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime modern rock indie rock key9 
22,2RlgNHKcydI9sayD2Df2xp,mr blue sky electric light orchestra mr. blue sky highpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity seventies rock classic rock mellow gold soft rock key10 
23,2J4P46vCFm1rPkNkp9pZWX,ice cream with selena gomez blackpink ice cream (with selena gomez) midpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode midspeechiness hightempo highvalence midalbum_popularity highartist_popularity presenttime  key9 
