,track_id,track_name,track_duration,track_popularity,track_uri,artist_name,artist_id,album_id,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,artist_popularity,track_releaseYear,track_releaseMonth,key_0,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,pop,pop rap,rap,post-teen pop,dance pop,pop r&b,emo rap,miami hip hop,canadian pop,hip hop,broadway,queens hip hop,hip pop,uk pop,electropop,show tunes,edm,hollywood,tropical house,pop dance,alt z,scandipop,pittsburgh rap,hawaiian hip hop,swedish electropop,swedish pop,southern hip hop,trap,atl hip hop,viral pop,melodic rap,pop rock,chill r&b,dirty south rap,indie pop rap,indie poptimism,conscious hip hop,detroit hip hop,electro,futuristic swag,gangster rap,heartland rock,la pop,mellow gold,mississippi hip hop,modern rock,neo mellow,north carolina hip hop,oakland hip hop,complextro,classic rock,canadian contemporary r&b,brostep,bedroom soul,otacore,pop punk,modern alternative rock,soft rock,uk funky,uk dance,stomp and holler,singer-songwriter,san diego rap,rock,album rock,post-grunge,viral rap
0,5KxOgXzWV6bwyjxeJ5ynjJ,Flowers on the Freeway,166005,52,spotify:track:5KxOgXzWV6bwyjxeJ5ynjJ,Cody Lovaas,7fWrZ2q4fGZAnuCPfgSU52,4I6KUJOnTFLgRXosG5y2Ia,Flowers on the Freeway,0.405,0.757,0.492,0.0,0.203,-5.642,1,0.337,76.038,4,0.284,41,47,2021,03,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3zdPk8zP7hU5RFJqweCdYZ,Inner White Girl,212426,21,spotify:track:3zdPk8zP7hU5RFJqweCdYZ,Larry Owens,3GiqiBdyGgPEvEhSDRgtbb,7vlAmEdZEOVdRUsB4fgrvC,A Strange Loop (Original Cast Recording),0.471,0.659,0.745,0.0,0.151,-5.327,0,0.0436,119.979,4,0.778,23,17,2019,09,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5C22UtZnT54ecHYVozn0EZ,Hate U,166745,44,spotify:track:5C22UtZnT54ecHYVozn0EZ,LØLØ,5MjcGshMggPgIHinIUDaX0,27XAaoDCyJyXwfQnY0O4yJ,Hate U,0.061,0.527,0.473,0.0,0.111,-3.88,1,0.0425,104.963,3,0.72,33,51,2020,08,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7es56D0QedGMsK39wl2yFX,Happier Than Ever,109325,75,spotify:track:7es56D0QedGMsK39wl2yFX,ASTN,7zkwepHPyac6tCYl0fL0co,6EOyWmHnLJptnyjB8xrYT5,Happier Than Ever,0.341,0.667,0.457,0.0,0.114,-6.885,0,0.439,97.604,4,0.266,64,61,2021,11,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7cK7hDrE7vAesPf8xd5zmb,Stupid Deep,178176,58,spotify:track:7cK7hDrE7vAesPf8xd5zmb,Jon Bellion,50JJSqHUf2RQ9xsHs0KMHg,59YYObx9wFEFG5zVdlfwvf,Glory Sound Prep,0.732,0.362,0.377,0.000631,0.127,-9.713,1,0.0339,137.891,4,0.294,56,66,2018,11,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),212093,73,spotify:track:5u1n1kITHCxxp8twBcZxWy,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,4hR7jjsPvRwwcHx8ntJSQS,Holy,0.196,0.673,0.704,0.0,0.0898,-8.056,1,0.36,86.919,4,0.372,62,90,2020,09,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0gbLfFlEyVHiKzlZIb0gce,How Far We've Come,212253,60,spotify:track:0gbLfFlEyVHiKzlZIb0gce,Matchbox Twenty,3Ngh2zDBRPEriyxQDAMKd1,0oFlNGmGpsFvvhBgnNPirh,Exile on Mainstream,0.00452,0.566,0.906,0.0,0.21,-5.092,1,0.0642,83.0,4,0.787,54,65,2007,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,2eLDUK7EkpENZkDL9O5yhz,at least i look cool,171695,48,spotify:track:2eLDUK7EkpENZkDL9O5yhz,Sasha Alex Sloan,4xnihxcoXWK3UqryOSnbw5,3DrwGrEPG3Rq9mIsZVuklB,at least i look cool,0.647,0.828,0.349,1.57e-05,0.105,-9.96,0,0.17,130.074,4,0.282,37,70,2019,07,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2Y0kKL90NsxMNAHqvTuhps,Frick Park Market,197559,54,spotify:track:2Y0kKL90NsxMNAHqvTuhps,Mac Miller,4LLpKhyESsyAXpc4laK94U,6VhDYmsjHqRxKXd0z7hmXI,Blue Slide Park,0.0225,0.592,0.808,0.0,0.293,-5.643,1,0.0598,156.125,4,0.227,62,83,2011,11,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0ecM7uGyjgJnBliXS2fPP9,Morocco,208053,56,spotify:track:0ecM7uGyjgJnBliXS2fPP9,Moon Taxi,5DK8eK7fjvRsziXzyr3sFA,7FCU8j7ouEOYoLlbEtd96m,Mountains Beaches Cities,0.0169,0.617,0.892,0.000202,0.224,-3.143,0,0.0489,115.082,4,0.596,46,50,2013,09,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
