,track_id,track_name,track_duration,track_popularity,track_uri,artist_name,artist_id,album_id,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,artist_popularity,track_releaseYear,track_releaseMonth,key_0,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,neo mellow,pop rock,pop,country,contemporary country,dance pop,country road,pop rap,worship,ccm,post-teen pop,miami hip hop,christian music,edm,modern country rock,piano rock,christian alternative rock,celtic rock,country pop,world worship,folk-pop,christian indie,alternative metal,pop punk,modern rock,post-grunge,nu metal,canadian contemporary country,anthem worship,vegas indie,australian country,australian pop,black americana,christian rock,canadian country,permanent wave,neon pop punk,indie poptimism,indiecoustica,modern blues rock,alberta country
0,2VWBdFsDJVGlRTdz4PvYwy,Dive - Recorded At Sound Stage Nashville,260862,70,spotify:track:2VWBdFsDJVGlRTdz4PvYwy,Luke Combs,718COspgdWOnwOFpJHRZHS,2H18xXYbVopKYddC2VqoPJ,Spotify Singles,0.671,0.742,0.363,1.43e-06,0.145,-8.188,1,0.0282,130.921,3,0.351,59,81,2018,03,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7wWALnOZu76QQCFftDCTMT,Human Nature,206866,27,spotify:track:7wWALnOZu76QQCFftDCTMT,Brandon Heath,0W7wIkmxoGQbnZYn2z2sLj,1WGuedYaO1czao22INw8jf,Human Nature,0.00466,0.493,0.661,0.0,0.386,-6.198,1,0.0395,174.221,4,0.533,16,49,2021,07,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5nUzRHDvRYqRcOlVWg67Di,I Am Yours,276574,54,spotify:track:5nUzRHDvRYqRcOlVWg67Di,NEEDTOBREATHE,610EjgFatGvVPtib97jQ8G,2vDmR7Be0zQwcxDnHAqe5X,Into The Mystery,0.0511,0.466,0.862,0.0,0.513,-4.707,1,0.0567,75.045,4,0.438,53,62,2021,07,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2qg7U5mbHDFTXNKvPNF0IZ,Scars in Heaven,268080,55,spotify:track:2qg7U5mbHDFTXNKvPNF0IZ,Casting Crowns,6eJqAWJdd8JhAN1pQGie4r,6pdwWxEt670pc5jYxzbmYf,Scars in Heaven,0.645,0.48,0.356,0.0,0.0685,-9.862,1,0.0336,79.748,4,0.298,44,64,2021,06,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5LfN2gCSSnZmbXaOZMoCX3,No Such Thing,179440,43,spotify:track:5LfN2gCSSnZmbXaOZMoCX3,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,0g1F5eGVwX4Sxi1n8ojPkE,Dan + Shay,0.194,0.722,0.74,0.0,0.0597,-5.499,1,0.134,87.005,4,0.78,67,72,2018,06,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0jBu6T5GgOekdHuXA5hVQM,Who You Say I Am,199520,52,spotify:track:0jBu6T5GgOekdHuXA5hVQM,Hillsong Worship,3SgHzT552wy2W8pNLaLk24,2kwKl75APbUs1AxEv74JdQ,There Is More (Studio Sessions),0.00518,0.368,0.654,0.0,0.0895,-8.656,1,0.0398,171.78,3,0.327,49,72,2018,07,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,36ISlLb12gKuCCVTYXC0gb,Beers And Sunshine,178278,64,spotify:track:36ISlLb12gKuCCVTYXC0gb,Darius Rucker,7FY5V3XMwlNBPitEjXowHQ,1GZyb1fAcVAdxeZK16ozLR,Beers And Sunshine,0.134,0.57,0.645,0.0,0.147,-5.816,1,0.0304,81.084,4,0.677,53,65,2020,08,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,567gPvGfxxKoZxDKqM9tEl,Parallel Line,253084,58,spotify:track:567gPvGfxxKoZxDKqM9tEl,Keith Urban,0u2FHSq3ln94y5Q57xazwf,52aaxT2Se2oUyijUbWwp3Z,Graffiti U,0.202,0.621,0.477,0.0,0.215,-5.284,1,0.0334,81.976,4,0.481,53,70,2018,04,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5A3fPy30SN2wuzrahpcxvV,"Don't Give Up On Me - (From ""Five Feet Apart"")",196187,73,spotify:track:5A3fPy30SN2wuzrahpcxvV,Andy Grammer,2oX42qP5ineK3hrhBECLmj,20mlgqmD6YJwkNuAfLRcDC,Naive,0.0875,0.641,0.537,9.05e-06,0.115,-5.452,0,0.0282,112.864,4,0.0681,64,69,2019,07,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5vMzNmHm2ec2zrqiYhkQzZ,Yes I Will,234731,45,spotify:track:5vMzNmHm2ec2zrqiYhkQzZ,Vertical Worship,6N6Sk9XOoHsadAGYR44C2o,0OOv0GLx4DQc5tPTkRo6sz,Yes I Will,0.0561,0.43,0.708,0.0,0.704,-7.14,1,0.0336,75.024,4,0.243,34,54,2018,03,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
