,track_id,track_name,track_duration,track_popularity,track_releaseDate,track_uri,artist_name,artist_id,album_id,album_name
0,1UMij8I1SjJi3Syusg35sp,Who's Counting,241533,54,2022-11-11,spotify:track:1UMij8I1SjJi3Syusg35sp,MGMT,0SwO7SWeDHJijQ3XNS7xEE,5mGJloHxjO2igmx9XJKAeJ,11•11•11
1,3ynDS4UZkGJuMhUUl0qgMn,Forest Elf,153480,49,2022-11-11,spotify:track:3ynDS4UZkGJuMhUUl0qgMn,MGMT,0SwO7SWeDHJijQ3XNS7xEE,5mGJloHxjO2igmx9XJKAeJ,11•11•11
2,5A5gGVllHwHNu9ZYT2Iigs,Tell It to Me Like It Is,552400,48,2022-11-11,spotify:track:5A5gGVllHwHNu9ZYT2Iigs,MGMT,0SwO7SWeDHJijQ3XNS7xEE,5mGJloHxjO2igmx9XJKAeJ,11•11•11
3,1msxVpdMsuUt3JBZubbnZC,I Am Not Your Home,316306,46,2022-11-11,spotify:track:1msxVpdMsuUt3JBZubbnZC,MGMT,0SwO7SWeDHJijQ3XNS7xEE,5mGJloHxjO2igmx9XJKAeJ,11•11•11
4,5BwfV9vNhDfIysUTyuTbuQ,Grapevine,325946,57,2022-11-18,spotify:track:5BwfV9vNhDfIysUTyuTbuQ,Weyes Blood,3Uqu1mEdkUJxPe7s31n1M9,1hngVRZt95TrqPqXoJzQ4A,"And In The Darkness, Hearts Aglow"
5,0Xf5iP2B0PrYOCUZDIK8QB,Cliche,249461,36,2016-06-24,spotify:track:0Xf5iP2B0PrYOCUZDIK8QB,Jeff Parker,3AaY5O1qS0tcNPHwwMwplt,0b3NB5tsnsCIKRoh2LcSM4,The New Breed
6,4nMfyBAZvYoSFYt6UfOvZt,Joy Ride - Jeff Parker Remix,181769,39,2021-07-23,spotify:track:4nMfyBAZvYoSFYt6UfOvZt,Dougie Stu,31rKKCEt98VDAxC4nxNHY1,6BLuRlhhj7Li3067yZzPmA,Joy Ride (Jeff Parker Remix)
7,0ve8tt7o75cUCz2mHCT0zi,Arrow,187564,42,2022-10-07,spotify:track:0ve8tt7o75cUCz2mHCT0zi,Daphni,4nhvb6x9ZhPiYCzrHDNia9,0cmEfkFvLVgKhLIUgGhRG5,Cherry
8,70GeFg0Hy8uvIoujccyWgz,Poly,138371,48,2017-10-06,spotify:track:70GeFg0Hy8uvIoujccyWgz,Daphni,4nhvb6x9ZhPiYCzrHDNia9,2NF7kUOEaNYhCWLANV85Aj,Joli Mai
9,0Hn1xO9n8xb8r5BgeHH1Qi,All I Wanted,286281,38,2019-04-26,spotify:track:0Hn1xO9n8xb8r5BgeHH1Qi,Hannah Cohen,7ovXNdlB2DNSC16TbKgros,0b4TocuPShTGNAFy5tZx73,Welcome Home
10,3zaFz69Xfh3EnN9f1S0Nd3,This Is Your Life,253928,39,2019-04-26,spotify:track:3zaFz69Xfh3EnN9f1S0Nd3,Hannah Cohen,7ovXNdlB2DNSC16TbKgros,0b4TocuPShTGNAFy5tZx73,Welcome Home
11,6KqSaedLlwolztRtpOYUaN,Dissolving,217275,39,2019-04-26,spotify:track:6KqSaedLlwolztRtpOYUaN,Hannah Cohen,7ovXNdlB2DNSC16TbKgros,0b4TocuPShTGNAFy5tZx73,Welcome Home
12,05n521uk7tzOpvuQZMtQag,Sold Me a Dream - Terry Tracksuit Edit,170778,43,2022-04-11,spotify:track:05n521uk7tzOpvuQZMtQag,Sam Evian,5MXsi1oKkm8LuStuKkMdzu,2O4jdVnB7QgVETMA17wQ46,Sold Me a Dream (Terry Tracksuit Edit)
13,7sJ5JL0c0cba0tJBmy3tw7,Right Down the Line,267962,55,2019-07-10,spotify:track:7sJ5JL0c0cba0tJBmy3tw7,Sam Evian,5MXsi1oKkm8LuStuKkMdzu,0xMvVtSsEL5HMYql9ZiRoI,Right Down the Line
14,100hGJYbcT3bsuZnaGu7cI,Dream Free,258026,38,2021-10-29,spotify:track:100hGJYbcT3bsuZnaGu7cI,Sam Evian,5MXsi1oKkm8LuStuKkMdzu,7tbxSBCADgo0YnDBw4EzJW,Time to Melt
15,2nZ6kaaPbQ0aAZVl7ZS7qt,Invierno como Verano,413340,2,2022-06-02,spotify:track:2nZ6kaaPbQ0aAZVl7ZS7qt,Guillermo Lechner,4SOBlWNhE2kVS40JbLEjzb,3inG5T1gVRMrJTZNYp7biu,Aires Buenos
16,08QYmUrlhlkgXyhpXPGPVu,Chacaextraña,202957,4,2022-06-02,spotify:track:08QYmUrlhlkgXyhpXPGPVu,Guillermo Lechner,4SOBlWNhE2kVS40JbLEjzb,3inG5T1gVRMrJTZNYp7biu,Aires Buenos
17,6lYY2HktYKpV1pUamfRlU1,Messages from the Stars,254080,71,2008-10-17,spotify:track:6lYY2HktYKpV1pUamfRlU1,The Rah Band,7MDoXA8Kfykq3gkBkDBLtH,0TGYRrYo4CbhYX6ktuv75f,Going Up
18,1y3r6RXiJZNBV1EI0NggpS,Ultraviolence,251480,71,2014-01-01,spotify:track:1y3r6RXiJZNBV1EI0NggpS,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,1ORxRsK3MrSLvh7VQTF01F,Ultraviolence (Deluxe)
19,1gfeiZQyEszO67FFf8jaD6,Rainbow,257626,29,2004-06-08,spotify:track:1gfeiZQyEszO67FFf8jaD6,Jia Peng Fang,3WRa9FNcp94AiKrccogsC6,22MxmHnA5Vk3XtSLxc4nMH,Jia Peng Fang Best/Erhu
20,2zVaxB54fNngkbWs5uZnla,OHMAMI,226835,68,2021-06-25,spotify:track:2zVaxB54fNngkbWs5uZnla,Chase Atlantic,7cYEt1pqMgXJdq00hAwVpT,01TcECvkaDgXQksneowRzB,OHMAMI
21,3NhEHxzfLEzvlYPK9hgmPR,Wild Grey Ocean,234986,67,2022-10-25,spotify:track:3NhEHxzfLEzvlYPK9hgmPR,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,6H7rX9r5UAwdlkDtWOiW6v,Wild Grey Ocean
22,3dejrMX6lRcjeVWWirdGyr,"A Sky Like I've Never Seen (From the Amazon Original Movie ""Wildcat"")",221354,55,2022-11-09,spotify:track:3dejrMX6lRcjeVWWirdGyr,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,6ymOerT4d3L6DYJLZSsWze,"A Sky Like I've Never Seen (From the Amazon Original Movie ""Wildcat"")"
23,3Pu1SgNTP6N7Zr2xAghG0Y,Gabrielle,209466,48,2005-07-15,spotify:track:3Pu1SgNTP6N7Zr2xAghG0Y,Ween,3u1ulLq00Y3bfmq9FfjsPu,2aplhoOcX4UjbxrUdxGEiH,Shinola (Vol. 1)
24,4VtbQx2koGlw8Ple6O2IZH,Tried And True,242000,53,2003-08-05,spotify:track:4VtbQx2koGlw8Ple6O2IZH,Ween,3u1ulLq00Y3bfmq9FfjsPu,0GOWw5YVpOmIX6mUtjLi30,Quebec
25,07fT8LRXU86ZyfLmMAkbez,SATURNO,91500,64,2022-11-11,spotify:track:07fT8LRXU86ZyfLmMAkbez,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,6QYD0sLnZNUviYe2iBL2c3,SATURNO
26,2elzUKJebZM50u2i6dgVnP,Aces,122250,75,2022-07-08,spotify:track:2elzUKJebZM50u2i6dgVnP,dkj,5FU1KYJheed7LZIM2r6KrE,3RZ5noE2X4Fn4OhdfslVex,Aces
27,6ceCZzte2u6jbrEkYrk4ll,Gubèlyé (My Gubel),280306,40,1998-10-06,spotify:track:6ceCZzte2u6jbrEkYrk4ll,Mulatu Astatke,7HGFXtBhRq3g1Ma3nH4Rgv,5VKvVk4gaPAJyXjof8NnzX,"Ethiopiques, Vol. 4: Ethio Jazz 1969-1974"
28,60jhynlMWvL9jqMh11BPFT,Cover Me Slowy,81893,50,2008-10-31,spotify:track:60jhynlMWvL9jqMh11BPFT,Deerhunter,38zTZcuN7nFvVJ6auhc6V3,4wJ585ippGitIpRcGs1GD7,Microcastle
29,1k7lK8tjU5BPsXez7WEpg0,Revival,133666,56,2010-09-27,spotify:track:1k7lK8tjU5BPsXez7WEpg0,Deerhunter,38zTZcuN7nFvVJ6auhc6V3,3a3Yp0PRguSTH3dBOeWRyZ,Halcyon Digest
30,4QNQYh76GRt6L3asf6LZlo,Enchanted Mirror,238746,39,1972-10-01,spotify:track:4QNQYh76GRt6L3asf6LZlo,Luiz Bonfá,174ThXFgQg2VCq9r3m8ceb,4WBpgGCVdeXpk7QxN42wD4,Introspection
31,0FQFEIgeqiFtV7uXnxqX51,Sita Ram,285093,17,1971-01-01,spotify:track:0FQFEIgeqiFtV7uXnxqX51,Alice Coltrane,0oKYiTD5CdNbrofRvM1dIr,2YlrEXJnxx7q1wX8sVXIuV,Universal Consciousness
32,1dQ691F7ixVFl9sTXM77XZ,Hare Krishna,493693,16,1971-01-01,spotify:track:1dQ691F7ixVFl9sTXM77XZ,Alice Coltrane,0oKYiTD5CdNbrofRvM1dIr,2YlrEXJnxx7q1wX8sVXIuV,Universal Consciousness
33,3LLMudAmQlHRqmD5BG3CQS,Espiral,322013,55,2004-11-11,spotify:track:3LLMudAmQlHRqmD5BG3CQS,Porter,7eBQrhxTHcor6gcbcLhqE5,0trdxYmH6A4QEtdlbYWjtx,Donde los Ponys Pastan
